index_oligo,RBP_RBM25_aff_50
234,0.0
235,1.4398327
236,11.099279
237,1.7436842
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,1.9029129
262,1.9029129
263,3.7972093
264,3.7972093
265,3.7972093
266,3.7972093
267,1.8942963
268,0.0
269,0.0
270,1.7436842
271,1.7436842
272,1.7436842
273,1.7436842
274,1.7436842
275,1.7436842
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,1.6713728
285,1.6713728
286,1.6713728
287,2.198148
288,2.198148
289,2.198148
290,2.198148
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,1.9029129
299,1.9029129
300,1.9029129
301,1.9029129
302,1.7436842
303,1.7436842
304,1.7436842
305,1.7436842
306,1.7436842
307,1.7436842
308,0.0
309,0.0
310,0.0
311,0.0
312,2.198148
313,0.0
314,0.0
315,0.0
316,0.0
317,2.6165874
318,0.0
319,0.0
320,0.0
321,0.0
322,2.4899805
323,4.892565
324,4.892565
325,0.0
326,0.0
327,2.4715536
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,2.4210112
335,0.0
336,0.0
337,0.0
338,2.2759774
339,2.2759774
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,2.364159
359,0.0
360,2.207008
361,2.4025843
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,2.4025843
368,0.0
369,4.9554753
370,0.0
371,0.0
372,0.0
373,0.0
374,2.4847074
375,0.0
376,4.760685
377,0.0
378,0.0
379,0.0
380,2.5344644
381,2.3012486
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,2.2562456
452,2.2562456
453,2.2562456
454,2.2562456
455,2.2562456
456,2.2562456
457,2.2562456
458,2.2562456
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,0.0
610,0.0
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,2.7365046
629,2.7365046
630,2.7365046
631,2.7365046
632,2.7365046
633,2.7365046
634,2.7365046
635,2.7365046
636,2.7365046
637,2.7365046
638,2.7365046
639,2.7365046
640,2.7365046
641,2.7365046
642,2.7365046
643,2.7365046
644,2.7365046
645,2.7365046
646,2.7365046
647,2.7365046
648,2.7365046
649,2.7365046
650,2.7365046
651,2.7365046
652,2.7365046
653,2.7365046
654,2.7365046
655,2.7365046
656,2.7365046
657,2.7365046
658,2.7365046
659,2.7365046
660,2.7365046
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,1.9829007
697,0.0
698,2.1597748
699,0.0
700,0.0
701,0.0
702,0.0
703,0.0
704,0.0
705,0.0
706,0.0
707,0.0
708,0.0
709,0.0
710,0.0
711,1.8214663
712,0.0
713,0.0
714,0.0
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,2.560809
729,5.4530783
730,2.560809
731,0.0
732,0.0
733,0.0
734,2.1597748
735,0.0
736,0.0
737,0.0
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,3.952106
745,2.468948
746,2.2225006
747,2.6526697
748,0.0
749,0.0
750,0.0
751,0.0
752,0.0
753,0.0
754,11.533381
755,0.0
756,0.0
757,0.0
758,0.0
759,0.0
760,2.553961
761,2.2225006
762,0.0
763,0.0
764,0.0
765,2.3143613
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.0
777,0.0
778,0.0
779,0.0
780,0.0
781,0.0
782,0.0
783,2.4791355
784,0.0
785,2.1673582
786,0.0
787,0.0
788,4.646494
789,0.0
790,0.0
791,0.0
792,0.0
793,2.2216673
794,2.127274
795,0.0
796,2.127274
797,0.0
798,0.0
799,2.127274
800,2.7766879
801,0.0
802,0.0
803,0.0
804,0.0
805,0.0
806,0.0
807,0.0
808,0.0
809,2.0113966
810,3.6732934
811,0.0
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,0.0
823,0.0
824,0.0
825,6.7905774
826,0.0
827,0.0
828,0.0
829,0.0
830,0.0
831,2.7407732
832,0.0
833,0.0
834,0.0
835,1.9075426
836,0.0
837,0.0
838,0.0
839,0.0
840,1.9075426
841,0.0
842,0.0
843,0.0
844,0.0
845,1.9752572
846,0.0
847,0.0
848,0.0
849,0.0
850,0.0
851,0.0
852,0.0
853,2.0429718
854,0.0
855,0.0
856,0.0
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,2.9439168
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,2.8400629
869,1.9752572
870,0.0
871,0.0
872,0.0
873,0.0
874,3.7094328
875,0.0
876,1.9752572
877,0.0
878,0.0
879,0.0
880,0.0
881,0.0
882,0.0
883,0.0
884,0.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,0.0
891,0.0
892,0.0
893,0.0
894,0.0
895,0.0
896,0.0
897,0.0
898,2.3428154
899,2.3428154
900,2.3428154
901,2.3428154
902,2.1423132
903,2.1423132
904,2.1423132
905,2.1423132
906,0.0
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.0
920,0.0
921,0.0
922,0.0
923,0.0
924,0.0
925,0.0
926,0.0
927,5.432528
928,2.8444898
929,2.8444898
930,0.0
931,2.8009334
932,0.0
933,0.0
934,0.0
935,2.297248
936,0.0
937,0.0
938,0.0
939,0.0
940,0.0
941,0.0
942,0.0
943,0.0
944,0.0
945,0.0
946,0.0
947,0.0
948,0.0
949,0.0
950,0.0
951,0.0
952,2.4322486
953,2.6887004
954,0.0
955,0.0
956,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,2.8009334
962,2.6887004
963,2.6887004
964,0.0
965,0.0
966,0.0
967,0.0
968,0.0
969,0.0
970,0.0
971,0.0
972,0.0
973,0.0
974,0.0
975,0.0
976,0.0
977,0.0
978,0.0
979,0.0
980,11.465603
981,4.750285
982,2.1622472
983,0.0
984,0.0
985,11.678498
986,2.466587
987,0.0
988,0.0
989,2.6887004
990,2.9015958
991,0.0
992,2.475805
993,0.0
994,0.0
995,0.0
996,0.0
997,0.0
998,0.0
999,0.0
1000,0.0
1001,8.95546
1002,0.0
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,2.3476164
1008,2.586625
1009,0.0
1010,2.6082788
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,2.509612
1016,0.0
1017,0.0
1018,0.0
1019,0.0
1020,0.0
1021,0.0
1022,0.0
1023,8.984174
1024,0.0
1025,0.0
1026,0.0
1027,2.1206594
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,2.7317681
1033,0.0
1034,0.0
1035,0.0
1036,0.0
1037,0.0
1038,0.0
1039,2.5144134
1040,0.0
1041,0.0
1042,0.0
1043,0.0
1044,0.0
1045,0.0
1046,0.0
1047,2.4975605
1048,0.0
1049,0.0
1050,2.5144134
1051,0.0
1052,0.0
1053,0.0
1054,2.3428154
1055,0.0
1056,0.0
1057,0.0
1058,2.386123
1059,0.0
1060,0.0
1061,0.0
1062,0.0
1063,0.0
1064,0.0
1065,0.0
1066,0.0
1067,0.0
1068,2.5481186
1069,0.0
1070,0.0
1071,0.0
1072,2.364469
1073,0.0
1074,0.0
1075,2.7317681
1076,0.0
1077,0.0
1078,0.0
1079,0.0
1080,0.0
1081,0.0
1082,0.0
1083,0.0
1084,0.0
1085,0.0
1086,0.0
1087,0.0
1088,0.0
1089,0.0
1090,0.0
1091,0.0
1092,0.0
1093,0.0
1094,0.0
1095,0.0
1096,0.0
1097,0.0
1098,0.0
1099,0.0
1100,0.0
1101,0.0
1102,0.0
1103,0.0
1104,0.0
1105,0.0
1106,0.0
1107,0.0
1108,0.0
1109,0.0
1110,0.0
1111,0.0
1112,0.0
1113,0.0
1114,0.0
1115,0.0
1116,0.0
1117,0.0
1118,0.0
1119,0.0
1120,0.0
1121,0.0
1122,0.0
1123,0.0
1124,0.0
1125,0.0
1126,0.0
1127,0.0
1128,0.0
1129,0.0
1130,0.0
1131,2.1582074
1132,2.1582074
1133,2.1582074
1134,2.1582074
1135,0.0
1136,0.0
1137,0.0
1138,0.0
1139,0.0
1140,0.0
1141,0.0
1142,0.0
1143,0.0
1144,0.0
1145,0.0
1146,0.0
1147,0.0
1148,0.0
1149,0.0
1150,0.0
1151,0.0
1152,0.0
1153,0.0
1154,0.0
1155,0.0
1156,0.0
1157,0.0
1158,0.0
1159,0.0
1160,0.0
1161,0.0
1162,0.0
1163,0.0
1164,0.0
1165,2.7252326
1166,0.0
1167,0.0
1168,0.0
1169,0.0
1170,0.0
1171,0.0
1172,1.9278058
1173,0.0
1174,0.0
1175,0.0
1176,0.0
1177,0.0
1178,0.0
1179,1.9122545
1180,0.0
1181,0.0
1182,0.0
1183,0.0
1184,0.0
1185,0.0
1186,0.0
1187,0.0
1188,0.0
1189,2.996598
1190,0.0
1191,0.0
1192,2.0647793
1193,0.0
1194,0.0
1195,0.0
1196,0.0
1197,0.0
1198,0.0
1199,0.0
1200,0.0
1201,0.0
1202,0.0
1203,0.0
1204,0.0
1205,0.0
1206,0.0
1207,3.0121496
1208,0.0
1209,0.0
1210,0.0
1211,0.0
1212,0.0
1213,0.0
1214,0.0
1215,0.0
1216,10.094251
1217,0.0
1218,0.0
1219,0.0
1220,2.996598
1221,0.0
1222,0.0
1223,0.0
1224,0.0
1225,0.0
1226,0.0
1227,0.0
1228,0.0
1229,0.0
1230,0.0
1231,0.0
1232,0.0
1233,0.0
1234,1.9962926
1235,0.0
1236,4.6046023
1237,2.3405702
1238,0.0
1239,0.0
1240,0.0
1241,2.663807
1242,0.0
1243,2.2895448
1244,2.2895448
1245,4.4138055
1246,2.6382942
1247,4.9533515
1248,0.0
1249,4.4138055
1250,2.663807
1251,4.9533515
1252,0.0
1253,0.0
1254,0.0
1255,0.0
1256,0.0
1257,2.0903058
1258,0.0
1259,2.2241178
1260,0.0
1261,0.0
1262,0.0
1263,2.421011
1264,0.0
1265,0.0
1266,0.0
1267,0.0
1268,0.0
1269,0.0
1270,2.0903058
1271,0.0
1272,2.396565
1273,0.0
1274,2.0903058
1275,0.0
1276,0.0
1277,0.0
1278,2.2241178
1279,5.6867986
1280,0.0
1281,0.0
1282,0.0
1283,0.0
1284,0.0
1285,0.0
1286,0.0
1287,0.0
1288,0.0
1289,2.396565
1290,0.0
1291,0.0
1292,0.0
1293,0.0
1294,2.2241178
1295,0.0
1296,0.0
1297,2.1643064
1298,0.0
1299,5.6867986
1300,0.0
1301,0.0
1302,0.0
1303,2.7517161
1304,2.2241178
1305,0.0
1306,0.0
1307,0.0
1308,0.0
1309,0.0
1310,0.0
1311,0.0
1312,2.7272701
1313,0.0
1314,0.0
1315,0.0
1316,2.0903058
1317,0.0
1318,0.0
1319,0.0
1320,0.0
1321,0.0
1322,5.6867986
1323,0.0
1324,2.262753
1325,0.0
1326,0.0
1327,0.0
1328,0.0
1329,2.7272701
1330,16.043694
1331,0.0
1332,0.0
1333,0.0
1334,0.0
1335,0.0
1336,0.0
1337,0.0
1338,0.0
1339,0.0
1340,0.0
1341,0.0
1342,0.0
1343,0.0
1344,0.0
1345,0.0
1346,0.0
1347,0.0
1348,0.0
1349,0.0
1350,0.0
1351,0.0
1352,0.0
1353,0.0
1354,0.0
1355,0.0
1356,0.0
1357,0.0
1358,0.0
1359,0.0
1360,0.0
1361,0.0
1362,0.0
1363,0.0
1364,0.0
1365,0.0
1366,0.0
1367,0.0
1368,0.0
1369,0.0
1370,0.0
1371,0.0
1372,0.0
1373,0.0
1374,0.0
1375,0.0
1376,0.0
1377,0.0
1378,0.0
1379,0.0
1380,0.0
1381,0.0
1382,0.0
1383,0.0
1384,0.0
1385,0.0
1386,0.0
1387,0.0
1388,0.0
1389,0.0
1390,0.0
1391,0.0
1392,0.0
1393,0.0
1394,0.0
1395,0.0
1396,0.0
1397,0.0
1398,0.0
1399,0.0
1400,0.0
1401,0.0
1402,0.0
1403,0.0
1404,0.0
1405,0.0
1406,0.0
1407,0.0
1408,0.0
1409,0.0
1410,0.0
1411,0.0
1412,0.0
1413,0.0
1414,0.0
1415,0.0
1416,0.0
1417,0.0
1418,0.0
1419,0.0
1420,0.0
1421,0.0
1422,0.0
1423,0.0
1424,0.0
1425,0.0
1426,0.0
1427,0.0
1428,0.0
1429,0.0
1430,1.9908031
1431,0.0
1432,0.0
1433,0.0
1434,0.0
1435,0.0
1436,0.0
1437,0.0
1438,0.0
1439,2.9171298
1440,0.0
1441,0.0
1442,0.0
1443,0.0
1444,2.7159843
1445,0.0
1446,2.6491528
1447,0.0
1448,0.0
1449,0.0
1450,0.0
1451,0.0
1452,2.983961
1453,3.809715
1454,0.0
1455,0.0
1456,0.0
1457,0.0
1458,0.0
1459,0.0
1460,0.0
1461,0.0
1462,0.0
1463,0.0
1464,0.0
1465,0.0
1466,0.0
1467,0.0
1468,0.0
1469,0.0
1470,0.0
1471,0.0
1472,0.0
1473,0.0
1474,3.9102876
1475,0.0
1476,0.0
1477,2.6491528
1478,0.0
1479,0.0
1480,0.0
1481,0.0
1482,0.0
1483,0.0
1484,0.0
1485,0.0
1486,0.0
1487,2.0576346
1488,0.0
1489,0.0
1490,0.0
1491,0.0
1492,0.0
1493,4.5686374
1494,0.0
1495,0.0
1496,4.5686374
1497,0.0
1498,0.0
1499,0.0
1500,2.2918704
1501,0.0
1502,3.6423109
1503,0.0
1504,0.0
1505,0.0
1506,2.9094417
1507,3.0320334
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,2.1733394
1515,0.0
1516,0.0
1517,4.7945595
1518,2.4370565
1519,0.0
1520,2.8849373
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,5.9229417
1527,2.9094417
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,2.8909082
1533,0.0
1534,2.6026864
1535,2.6026864
1536,2.9094417
1537,0.0
1538,0.0
1539,2.4370565
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,5.9229417
1545,0.0
1546,2.8849373
1547,2.8849373
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,5.9229417
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,2.0077095
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,3.0320334
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,2.7317681
1633,2.7317681
1634,2.7317681
1635,2.7317681
1636,2.7317681
1637,2.7317681
1638,2.7317681
1639,2.7317681
1640,2.7317681
1641,2.7317681
1642,2.7317681
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,1.9278058
1662,2.996598
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,2.7070997
1684,2.7070997
1685,0.0
1686,2.9281113
1687,2.9281113
1688,4.924404
1689,4.924404
1690,1.9962926
1691,0.0
1692,0.0
1693,0.0
1694,2.0647793
1695,2.0647793
1696,0.0
1697,0.0
1698,9.078394
1699,9.078394
1700,5.1272826
1701,5.871774
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,5.1957693
1709,1.9962926
1710,1.9962926
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,2.1991713
1717,5.1272826
1718,0.0
1719,4.924404
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,2.5727077
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,0.0
1950,0.0
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,0.0
1959,0.0
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,1.6115487
1966,0.0
1967,1.9022357
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,3.4093232
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,2.7114084
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,2.8908377
1994,0.0
1995,0.0
1996,0.0
1997,1.9022357
1998,0.0
1999,0.0
2000,0.0
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,1.2724924
2006,3.4508958
2007,0.0
2008,0.0
2009,0.0
2010,0.0
2011,1.6115487
2012,0.0
2013,0.0
2014,0.0
2015,5.020872
2016,2.8908377
2017,3.4576924
2018,0.0
2019,0.0
2020,2.4690905
2021,0.0
2022,0.0
2023,0.0
2024,1.2241231
2025,0.0
2026,0.0
2027,0.0
2028,0.0
2029,2.6001506
2030,1.2724924
2031,4.6818156
2032,0.0
2033,0.0
2034,9.888105
2035,2.3094635
2036,0.0
2037,0.0
2038,0.0
2039,0.0
2040,0.0
2041,0.0
2042,0.0
2043,0.0
2044,1.6115487
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
